proposerId,username,name,ideascaleUrl,approved_projects_count,paid_projects_count,flags_count,flags_weight,flag_ids,flag_counts_by_id
33362,markf,MLabs Consulting,https://cardano.ideascale.com/c/profile/33362,4,4,0,0,,
80122,naren4das,Narendra Das,https://cardano.ideascale.com/c/profile/80122,4,4,0,0,,
40640,nathansamson,nathansamson,https://cardano.ideascale.com/c/profile/40640,4,4,0,0,,
31011,newmindflow,newmindflow,https://cardano.ideascale.com/c/profile/31011,5,4,0,0,,
28332,didnkallaehawe,NKALLA EHAWE DIDIER JUNIOR,https://cardano.ideascale.com/c/profile/28332,4,4,0,0,,
52961,pace,PACE,https://cardano.ideascale.com/c/profile/52961,8,4,0,0,,
36355,petr.smelik,petr.smelik,https://cardano.ideascale.com/c/profile/36355,5,4,0,0,,
89705,rahulkonudula,Rahul Konudula,https://cardano.ideascale.com/c/profile/89705,4,4,0,0,,
52452,syr,Rajasekaran Yogarajah,https://cardano.ideascale.com/c/profile/52452,4,4,0,0,,
cardano/WeaOGedLqlwLjtej8xOlRRqOHUVcF_SRCrxv2MLH3nQ,Rare Network,Rare Network,https://cardano.ideascale.com/c/profile/cardano/WeaOGedLqlwLjtej8xOlRRqOHUVcF_SRCrxv2MLH3nQ,4,4,0,0,,
35450,hotspringfinder,Richard Easterling,https://cardano.ideascale.com/c/profile/35450,4,4,0,0,,
24747,rphair,Robert Phair,https://cardano.ideascale.com/c/profile/24747,4,4,0,0,,
24311,decent.reality,Ron Hill,https://cardano.ideascale.com/c/profile/24311,4,4,0,0,,
60859,seedstars,Seedstars,https://cardano.ideascale.com/c/profile/60859,4,4,0,0,,
30419,profila,Shawn Jensen,https://cardano.ideascale.com/c/profile/30419,4,4,0,0,,
76687,sonson,Son Nguyen,https://cardano.ideascale.com/c/profile/76687,4,4,0,0,,
55253,sonia.marotta,sonia.marotta,https://cardano.ideascale.com/c/profile/55253,4,4,0,0,,
81089,sorin.canter,Sorin Canter,https://cardano.ideascale.com/c/profile/81089,4,4,0,0,,
35624,tamhoang,Tam Hoang,https://cardano.ideascale.com/c/profile/35624,4,4,0,0,,
72492,blacksmith,the_blacksmith,https://cardano.ideascale.com/c/profile/72492,4,4,0,0,,
39868,azul,Tim B - IAMX,https://cardano.ideascale.com/c/profile/39868,4,4,0,0,,
59053,thehiddenorder,Timothy Vang,https://cardano.ideascale.com/c/profile/59053,4,4,0,0,,
90991,tomas.urban,Tomas Richter Urban,https://cardano.ideascale.com/c/profile/90991,4,4,0,0,,
67392,truongcx,Truong Cao Xuan,https://cardano.ideascale.com/c/profile/67392,4,4,0,0,,
